Device,Model,MaxNumSeqs,MaxNumBatchedTokens,TensorParallelSize,MaxModelLen,Dataset,InputLen,OutputLen,ExpectedETEL,NumPrompts,ModelTag,PrefixLen,ExtraEnvs
tpu7x-8,Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8,512,8192,8,10240,random,1024,1024,,320,,0,VLLM_ATTENTION_BACKEND=CUSTOM;VLLM_QUANTIZATION=fp8;VLLM_GPU_MEMORY_UTILIZATION=0.95;VLLM_KV_CACHE_DTYPE=fp8;VLLM_ENABLE_EXPERT_PARALLEL=true;VLLM_ASYNC_SCHEDULING=true;USE_MOE_SPARSE_CORE=false
tpu7x-8,Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8,512,8192,8,10240,random,1024,8192,,320,,0,VLLM_ATTENTION_BACKEND=CUSTOM;VLLM_QUANTIZATION=fp8;VLLM_GPU_MEMORY_UTILIZATION=0.95;VLLM_KV_CACHE_DTYPE=fp8;VLLM_ENABLE_EXPERT_PARALLEL=true;VLLM_ASYNC_SCHEDULING=true;USE_MOE_SPARSE_CORE=false
tpu7x-8,Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8,512,8192,8,10240,random,8192,1024,,320,,0,VLLM_ATTENTION_BACKEND=CUSTOM;VLLM_QUANTIZATION=fp8;VLLM_GPU_MEMORY_UTILIZATION=0.95;VLLM_KV_CACHE_DTYPE=fp8;VLLM_ENABLE_EXPERT_PARALLEL=true;VLLM_ASYNC_SCHEDULING=true;USE_MOE_SPARSE_CORE=false
tpu7x-8,Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8,512,8192,8,16384,random,1024,1024,,320,,0,VLLM_ATTENTION_BACKEND=CUSTOM;VLLM_QUANTIZATION=fp8;VLLM_GPU_MEMORY_UTILIZATION=0.95;VLLM_KV_CACHE_DTYPE=fp8;VLLM_ENABLE_EXPERT_PARALLEL=true;VLLM_ASYNC_SCHEDULING=true;USE_MOE_SPARSE_CORE=false
tpu7x-8,Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8,512,8192,8,16384,random,1024,8192,,320,,0,VLLM_ATTENTION_BACKEND=CUSTOM;VLLM_QUANTIZATION=fp8;VLLM_GPU_MEMORY_UTILIZATION=0.95;VLLM_KV_CACHE_DTYPE=fp8;VLLM_ENABLE_EXPERT_PARALLEL=true;VLLM_ASYNC_SCHEDULING=true;USE_MOE_SPARSE_CORE=false
tpu7x-8,Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8,512,8192,8,16384,random,8192,1024,,320,,0,VLLM_ATTENTION_BACKEND=CUSTOM;VLLM_QUANTIZATION=fp8;VLLM_GPU_MEMORY_UTILIZATION=0.95;VLLM_KV_CACHE_DTYPE=fp8;VLLM_ENABLE_EXPERT_PARALLEL=true;VLLM_ASYNC_SCHEDULING=true;USE_MOE_SPARSE_CORE=false
