Device,Model,MaxNumSeqs,MaxNumBatchedTokens,TensorParallelSize,MaxModelLen,Dataset,InputLen,OutputLen,ExpectedETEL,NumPrompts,ModelTag,PrefixLen,ExtraEnvs
tpu7x-8,Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8,512,8192,8,9216,random,1024,1024,,320,,0,USE_BATCHED_RPA_KERNEL=1;VLLM_GPU_MEMORY_UTILIZATION=0.8;VLLM_KV_CACHE_DTYPE=fp8;VLLM_ENABLE_EXPERT_PARALLEL=true;VLLM_BLOCK_SIZE=256;VLLM_ASYNC_SCHEDULING=true
tpu7x-8,Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8,512,8192,8,9216,random,1024,8192,,320,,0,USE_BATCHED_RPA_KERNEL=1;VLLM_GPU_MEMORY_UTILIZATION=0.8;VLLM_KV_CACHE_DTYPE=fp8;VLLM_ENABLE_EXPERT_PARALLEL=true;VLLM_BLOCK_SIZE=256;VLLM_ASYNC_SCHEDULING=true
tpu7x-8,Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8,512,8192,8,9216,random,8192,1024,,320,,0,USE_BATCHED_RPA_KERNEL=1;VLLM_GPU_MEMORY_UTILIZATION=0.8;VLLM_KV_CACHE_DTYPE=fp8;VLLM_ENABLE_EXPERT_PARALLEL=true;VLLM_BLOCK_SIZE=256;VLLM_ASYNC_SCHEDULING=true
tpu7x-8,Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8,512,8192,8,9216,random,1024,1024,,320,,0,USE_BATCHED_RPA_KERNEL=1;VLLM_LIBTPU_INIT_PRESET=torchax_v7_optimized;VLLM_GPU_MEMORY_UTILIZATION=0.8;VLLM_KV_CACHE_DTYPE=fp8;VLLM_ENABLE_EXPERT_PARALLEL=true;VLLM_BLOCK_SIZE=256;VLLM_ASYNC_SCHEDULING=true
tpu7x-8,Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8,512,8192,8,9216,random,1024,8192,,320,,0,USE_BATCHED_RPA_KERNEL=1;VLLM_LIBTPU_INIT_PRESET=torchax_v7_optimized;VLLM_GPU_MEMORY_UTILIZATION=0.8;VLLM_KV_CACHE_DTYPE=fp8;VLLM_ENABLE_EXPERT_PARALLEL=true;VLLM_BLOCK_SIZE=256;VLLM_ASYNC_SCHEDULING=true
tpu7x-8,Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8,512,8192,8,9216,random,8192,1024,,320,,0,USE_BATCHED_RPA_KERNEL=1;VLLM_LIBTPU_INIT_PRESET=torchax_v7_optimized;VLLM_GPU_MEMORY_UTILIZATION=0.8;VLLM_KV_CACHE_DTYPE=fp8;VLLM_ENABLE_EXPERT_PARALLEL=true;VLLM_BLOCK_SIZE=256;VLLM_ASYNC_SCHEDULING=true
